antecedents,consequents,support,confidence,lift
frozenset({'Total_Spent_High'}),frozenset({'Engagement_Score_High'}),0.21696428571428572,0.6506024096385543,2.073043239815593
frozenset({'Engagement_Score_High'}),frozenset({'Total_Spent_High'}),0.21696428571428572,0.6913229018492176,2.0730432398155925
frozenset({'Engagement_Score_Low'}),frozenset({'Income_Low'}),0.2683035714285714,0.6892201834862385,2.066737899610675
frozenset({'Income_Low'}),frozenset({'Engagement_Score_Low'}),0.2683035714285714,0.8045515394912985,2.066737899610675
frozenset({'Engagement_Score_Low'}),frozenset({'NumWebPurchases_Low'}),0.3151785714285714,0.8096330275229358,2.337085027901258
frozenset({'NumWebPurchases_Low'}),frozenset({'Engagement_Score_Low'}),0.3151785714285714,0.9097938144329897,2.337085027901258
frozenset({'Engagement_Score_Low'}),frozenset({'Recency_High'}),0.13214285714285715,0.3394495412844037,1.0192586762427136
frozenset({'Recency_High'}),frozenset({'Engagement_Score_Low'}),0.13214285714285715,0.39678284182305634,1.0192586762427136
frozenset({'Engagement_Score_Low'}),frozenset({'Recency_Med'}),0.12857142857142856,0.33027522935779813,1.0120608943385332
frozenset({'Recency_Med'}),frozenset({'Engagement_Score_Low'}),0.12857142857142856,0.3939808481532147,1.0120608943385332
frozenset({'Engagement_Score_Low'}),frozenset({'Total_Spent_Low'}),0.32321428571428573,0.8302752293577982,2.48638571358485
frozenset({'Total_Spent_Low'}),frozenset({'Engagement_Score_Low'}),0.32321428571428573,0.9679144385026739,2.48638571358485
frozenset({'Engagement_Score_Med'}),frozenset({'Income_High'}),0.125,0.42105263157894735,1.2625942365955047
frozenset({'Income_High'}),frozenset({'Engagement_Score_Med'}),0.125,0.3748326639892905,1.2625942365955047
frozenset({'Income_Med'}),frozenset({'Engagement_Score_Med'}),0.11383928571428571,0.3418230563002681,1.1514039791166926
frozenset({'Engagement_Score_Med'}),frozenset({'Income_Med'}),0.11383928571428571,0.38345864661654133,1.1514039791166926
frozenset({'Engagement_Score_Med'}),frozenset({'NumWebPurchases_Med'}),0.21830357142857143,0.7353383458646616,1.970284563082347
frozenset({'NumWebPurchases_Med'}),frozenset({'Engagement_Score_Med'}),0.21830357142857143,0.5849282296650717,1.970284563082347
frozenset({'Engagement_Score_Med'}),frozenset({'Recency_High'}),0.09955357142857142,0.33533834586466166,1.0069140680118527
frozenset({'Recency_High'}),frozenset({'Engagement_Score_Med'}),0.09955357142857142,0.29892761394101874,1.0069140680118527
frozenset({'Engagement_Score_Med'}),frozenset({'Recency_Low'}),0.10714285714285714,0.3609022556390977,1.059529557839553
frozenset({'Recency_Low'}),frozenset({'Engagement_Score_Med'}),0.10714285714285714,0.31454783748361725,1.059529557839553
frozenset({'Total_Spent_High'}),frozenset({'Engagement_Score_Med'}),0.10848214285714286,0.32530120481927716,1.0957514267596704
frozenset({'Engagement_Score_Med'}),frozenset({'Total_Spent_High'}),0.10848214285714286,0.36541353383458647,1.0957514267596704
frozenset({'Engagement_Score_Med'}),frozenset({'Total_Spent_Med'}),0.17767857142857144,0.5984962406015037,1.7995054750971389
frozenset({'Total_Spent_Med'}),frozenset({'Engagement_Score_Med'}),0.17767857142857144,0.5342281879194631,1.799505475097139
frozenset({'NumWebPurchases_High'}),frozenset({'Income_High'}),0.14598214285714287,0.5207006369426752,1.5614048550891466
frozenset({'Income_High'}),frozenset({'NumWebPurchases_High'}),0.14598214285714287,0.4377510040160643,1.5614048550891466
frozenset({'Income_High'}),frozenset({'NumWebPurchases_Med'}),0.16294642857142858,0.4886211512717537,1.3092241373788616
frozenset({'NumWebPurchases_Med'}),frozenset({'Income_High'}),0.16294642857142858,0.43660287081339716,1.3092241373788618
frozenset({'Income_High'}),frozenset({'Recency_High'}),0.11116071428571428,0.3333333333333333,1.000893655049151
frozenset({'Recency_High'}),frozenset({'Income_High'}),0.11116071428571428,0.33378016085790885,1.0008936550491512
frozenset({'Income_High'}),frozenset({'Recency_Low'}),0.11473214285714285,0.34404283801874164,1.010034019871535
frozenset({'Recency_Low'}),frozenset({'Income_High'}),0.11473214285714285,0.3368283093053735,1.010034019871535
frozenset({'Total_Spent_High'}),frozenset({'Income_High'}),0.275,0.8246318607764392,2.4727916574822277
frozenset({'Income_High'}),frozenset({'Total_Spent_High'}),0.275,0.8246318607764392,2.4727916574822277
frozenset({'NumWebPurchases_Low'}),frozenset({'Income_Low'}),0.23258928571428572,0.6713917525773196,2.013276473591963
frozenset({'Income_Low'}),frozenset({'NumWebPurchases_Low'}),0.23258928571428572,0.6974564926372155,2.0132764735919624
frozenset({'Recency_Med'}),frozenset({'Income_Low'}),0.11339285714285714,0.347469220246238,1.0419425078334312
frozenset({'Income_Low'}),frozenset({'Recency_Med'}),0.11339285714285714,0.34002677376171353,1.0419425078334312
frozenset({'Total_Spent_Low'}),frozenset({'Income_Low'}),0.2638392857142857,0.7901069518716578,2.369263148852093
frozenset({'Income_Low'}),frozenset({'Total_Spent_Low'}),0.2638392857142857,0.7911646586345382,2.369263148852093
frozenset({'Income_Med'}),frozenset({'NumWebPurchases_High'}),0.12142857142857143,0.3646112600536193,1.3005242396816994
